Sample,22324,34759,7938,41,9048,50458,15649,31148,34915,14619,22466,30755,3080,23105,1460,37929,39389,5977,2586,35391,6126,35769,24502,3352,30899
Class,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade
E9PAV3,33186000,6409600,21822000,55404000,19362000,13532000,12474000,31747000,4545100,61812000,16580000,42177000,63247000,19041000,1668200,30179000,38855000,24055000,13613000,15292000,30646000,40854000,23941000,7890800,35419000
O00170,19059000,1870700,6457100,31532000,8949600,9782500,2633800,12036000,1936800,14601000,3532700,10497000,15675000,10927000,2298500,12907000,12949000,10417000,4849300,6755400,8932200,12151000,11008000,1533100,6197200
O00231,55846000,32836000,27369000,27753000,27375000,16915000,8402200,18581000,11665000,39802000,19656000,44945000,35812000,39909000,3745900,29441000,30687000,33725000,11650000,23788000,9656300,30798000,31714000,2271400,41001000
O00232,24499000,34370000,14407000,18978000,8683200,3316500,4934600,3213200,1314100,9179500,10757000,23853000,10072000,30399000,1358700,19728000,11196000,13969000,2610900,3192400,1998000,11691000,8553700,1713200,11808000
O00264,48204000,12417000,4758900,327070000,34374000,28924000,7789100,31092000,11220000,177060000,53187000,46615000,44985000,12444000,2114600,54241000,47940000,45356000,17069000,34573000,4723000,30690000,56748000,12660000,95311000
O00299,172290000,119420000,63508000,142960000,59961000,60850000,31408000,62058000,26373000,121690000,44155000,116480000,135170000,314470000,28346000,96429000,111150000,83280000,31819000,62035000,69758000,120720000,160340000,14184000,158610000
O00410,81628000,3074400,3259200,9234500,3931400,5638100,2063600,2423900,1856900,23211000,6537400,17135000,3703700,14998000,311270,18256000,4538200,8781600,990160,5468500,9964300,2778000,6160900,765430,13503000
O00429,28460000,6698800,14102000,7127900,5645900,3890500,7478400,4021200,1840700,102820000,7958800,12150000,7746900,21338000,1134000,10513000,12703000,12138000,1991600,1489200,1077000,4641200,11159000,2674900,15929000
O00571,35920000,10534000,14935000,18211000,12485000,8524800,14315000,9731000,2372200,44028000,19391000,43431000,14995000,28333000,4070000,21914000,17430000,18721000,6685100,11953000,7439800,27514000,22183000,3210200,17401000
O00764,100480000,19312000,38720000,80009000,29049000,10064000,16031000,15615000,8401500,53913000,38651000,100670000,28742000,83440000,5097000,108180000,44871000,90609000,21940000,20836000,113180000,50651000,43203000,12802000,40601000
O14579,81919000,27740000,32382000,50106000,23036000,9379800,19898000,18947000,11133000,65411000,35133000,72145000,39799000,120380000,6080600,54044000,49954000,36221000,17205000,24214000,18058000,17355000,38000000,2050900,37340000
O14773,175060000,70379000,78486000,284400000,66790000,29967000,98039000,23208000,11669000,52217000,76651000,183410000,39271000,130020000,11883000,90115000,107170000,86864000,26004000,88764000,35830000,69679000,161870000,9735200,83391000
O14818,62821000,25260000,23252000,34931000,22011000,23939000,15157000,17698000,9946400,68436000,31261000,39037000,37376000,28435000,7184100,26368000,28353000,28548000,15292000,16845000,24119000,29156000,35217000,7538300,28760000
O14974,145090000,13585000,54801000,222870000,65070000,214080000,22982000,163900000,21284000,373740000,39306000,469000000,83822000,296700000,9526500,308160000,231110000,91120000,29096000,44476000,121000000,276520000,126420000,66588000,115030000
O14979,44458000,5369900,18267000,34996000,16587000,19749000,12413000,16896000,11781000,24646000,13331000,35334000,28711000,24161000,3825200,31653000,31042000,17136000,12762000,14665000,24354000,16839000,24094000,13122000,15750000
O14980,138230000,38685000,34473000,22640000,12349000,7837700,24685000,8726300,596510,23765000,5165000,53563000,18775000,62727000,2729500,36879000,38564000,28521000,8827700,12746000,1314900,14413000,35859000,2647400,30825000
O15143,93357000,43266000,23391000,63925000,34100000,13293000,15681000,15461000,11405000,36337000,22884000,74557000,37911000,70419000,9411300,49632000,56676000,43869000,12502000,18072000,14581000,50016000,51073000,3269100,43409000
O15144,62006000,39111000,14990000,21982000,17191000,12740000,24894000,8184100,5074000,75064000,18406000,57735000,33260000,64063000,5950000,30309000,37520000,42759000,7370500,7805300,8370900,48417000,47914000,3793300,30974000
O15145,70577000,31605000,7280100,35645000,15538000,5314400,15350000,8433600,2313900,62601000,18346000,26965000,13067000,28361000,8966100,47676000,28351000,26162000,5068100,5149900,7928100,17833000,46327000,3088500,21423000
O15511,64102000,38680000,19672000,80323000,24802000,15905000,9859000,19195000,9936600,159490000,20796000,67085000,39118000,56210000,11931000,46364000,48547000,37627000,11626000,15304000,61088000,51893000,41317000,7020900,32125000
O43237,27019000,5287600,5029200,32293000,9475500,2719200,944170,4412900,1228100,28887000,6373900,26563000,16706000,67287000,4281500,12991000,23530000,29098000,3556900,10354000,10712000,17594000,19905000,2903500,17147000
O43301,80495000,531940,2617000,98380000,11640000,9141900,3700800,17277000,349720,89814000,7664900,116040000,34148000,2559200,7352100,33902000,56106000,136110000,2817400,4120900,12175000,11306000,32424000,562690,14199000
O43390,125720000,36327000,54009000,88103000,27198000,34186000,30233000,34214000,10398000,34275000,24330000,74493000,49353000,63748000,3925500,43315000,49711000,34757000,24140000,25996000,35660000,47532000,55318000,10991000,35964000
O43396,34725000,16724000,17600000,23825000,28906000,6924600,6343300,8159500,3545900,108530000,10703000,25032000,24096000,29722000,3486600,34739000,19018000,16884000,9757800,20192000,11546000,28294000,26056000,4074000,19407000
O43399,96266000,6683000,15805000,173020000,70565000,21342000,17662000,45732000,16023000,19486000,85480000,121410000,111530000,123320000,19082000,97995000,154930000,73361000,35054000,82599000,76100000,63285000,50221000,19499000,150460000
O43488,92202000,18036000,23219000,39874000,15652000,25470000,7288400,12898000,4830500,37524000,12706000,52694000,29948000,55365000,3407400,33617000,25247000,40639000,7159300,20999000,32739000,63127000,31811000,5443500,20440000
O43491,157740000,1575900,62094000,57350000,53054000,24075000,38832000,42958000,6536500,33170000,20358000,117700000,63700000,82616000,7439100,80884000,123230000,132260000,22115000,23508000,53184000,71838000,93645000,8207300,130240000
O43681,23164000,2809900,12235000,29400000,8663700,10157000,2944400,7371200,4604900,19842000,4307900,10362000,14533000,10228000,1760200,13995000,11993000,12488000,1811700,13164000,3442500,4751400,13376000,1509700,8838400
O43707,397950000,169850000,174410000,96584000,82612000,56832000,103350000,48391000,44670000,217600000,76322000,381570000,118860000,134830000,27142000,222930000,207520000,115550000,56602000,80043000,73704000,117450000,165650000,23395000,152410000
O43765,93276000,31422000,47889000,17108000,42912000,15526000,6018600,6047800,54294000,76311000,45673000,49627000,50723000,51383000,8857000,46046000,39051000,33453000,9922200,38490000,39555000,34188000,39589000,10951000,54617000
O43809,27601000,9430800,16252000,12411000,9141300,6715500,7940400,7139400,5263800,13379000,11463000,21551000,15305000,16663000,1023900,14714000,14556000,11547000,4660300,9058300,8964000,4726900,7968600,2309200,19764000
O43852,126430000,10643000,14954000,170360000,78381000,6555300,47764000,25256000,8645800,23724000,32680000,82411000,64877000,67210000,17127000,41723000,109030000,50507000,16430000,26798000,69692000,65455000,46580000,8524100,80521000
O60271,20558000,5852500,5533200,59074000,13471000,373370,2427700,4808000,1881100,16892000,10067000,23249000,6863600,23647000,990000,16233000,17486000,14753000,3579400,6503900,16659000,10167000,7414300,1497200,15316000
O60313,6435900,1464600,1617100,4641300,5464900,1937900,2675100,1661800,295870,505430000,1719900,6109300,744930,2482500,1268100,6754400,2374300,2940100,3510100,2867200,1212100,5669800,2363100,1041500,3268300
O60506,95153000,21821000,40245000,75422000,26920000,16740000,21748000,17238000,7088000,49854000,20269000,75041000,33231000,77081000,4948100,55552000,46107000,43414000,16604000,21168000,36496000,38403000,44985000,11800000,46957000
O60547,37122000,5443700,1552300,5276900,35408000,2094400,1623800,6713100,2954500,21306000,9061500,57428000,14964000,37386000,2109800,12299000,28614000,47773000,6925600,939310,15114000,65483000,46851000,1247400,48292000
O60664,74001000,32835000,12970000,64176000,13751000,39637000,14466000,34524000,7025500,11175000,16563000,50184000,51549000,42075000,9625500,24553000,36788000,29490000,8504000,23120000,39421000,39143000,22652000,5638400,25982000
O60701,59769000,46924000,19644000,23005000,9222200,20977000,12534000,13528000,3372300,28983000,4936900,30811000,47638000,68075000,8034600,16688000,24000000,11059000,9001700,15199000,5389100,39585000,22835000,576050,21703000
O60716,23454000,2360100,8419100,39517000,13708000,1035300,790600,5473900,6597300,29522000,8868000,32373000,9724600,23715000,1887700,27359000,21074000,22389000,13825000,12904000,3337600,24275000,23168000,708850,17620000
O60763,46247000,10609000,12104000,19279000,14005000,3858500,3912400,5915800,4196500,14434000,7855300,23450000,14731000,15898000,1777900,13399000,12732000,10853000,5251500,9526100,4043000,5611900,14208000,532080,16125000
O60832,21358000,2218700,6399300,15395000,4371800,4793800,2921300,5868800,2572700,3833900,3070900,8500400,8426800,2693200,848860,10191000,5595300,4272300,3645100,4130700,1031200,3297300,5066700,374220,8365100
O60888,48913000,41619000,18256000,29422000,26091000,20030000,26983000,18617000,22861000,141370000,14951000,36785000,40717000,57376000,6317400,39229000,71566000,56112000,18747000,30369000,49315000,56968000,37190000,10693000,78210000
O75083,116110000,44749000,33922000,113410000,33060000,30522000,14561000,18866000,17419000,143370000,38694000,93903000,59554000,84900000,8630800,89267000,50616000,54628000,11455000,35749000,18118000,72814000,65065000,8514300,44199000
O75131,47494000,1141500,24570000,15868000,13480000,4740400,11310000,6356200,3095400,20093000,7574800,28928000,12114000,30577000,1579400,20548000,15790000,12298000,5525900,4402500,4230500,7044100,24799000,3063500,13100000
O75347,47899000,3806800,2359700,71233000,102130000,16008000,2179600,18949000,4262900,42611000,13498000,41525000,37052000,18615000,5396000,35731000,53800000,48430000,14268000,24126000,48155000,28508000,22195000,14845000,41964000
