Sample,LFQ_Int_CP35491,LFQ_Int_CP10882,LFQ_Int_CN06567,LFQ_Int_CP16894,LFQ_Int_CP22324,LFQ_Int_CH10571,LFQ_Int_CN30310,LFQ_Int_CP19452,LFQ_Int_CM5736,LFQ_Int_CN14704,LFQ_Int_CN39836,LFQ_Int_CP28844,LFQ_Int_CP34310,LFQ_Int_CP34241,LFQ_Int_CP34736,LFQ_Int_CP21176,LFQ_Int_CP24232,LFQ_Int_CN29552,LFQ_Int_CN36290,LFQ_Int_CP23023,LFQ_Int_CN35769
Label,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade
O00170,1002400,264920000,77973000,53329000,35962000,29680000,27150000,89497000,5429400,53955000,56093000,1404100,624790,10089000,7680300,142820000,38554000,73348000,55363000,32483000,67028000
O00203,19582000,277510000,70955000,44511000,46226000,90544000,49622000,10590000,3039700,11644000,73526000,1073300,428230,27073000,12165000,220850000,20057000,95088000,145520000,43779000,102500000
O00233,11771000,27956000,88100000,188160000,5779500,91897000,77275000,19345000,26546000,63357000,66404000,123120000,2490800,39958000,12026000,322550000,55170000,162720000,82205000,81046000,117130000
O00264,46692000,380790000,618970000,319760000,112100000,304330000,122680000,188930000,46148000,321600000,288770000,27035000,5635000,59765000,16203000,1599000000,176750000,963070000,440240000,938200000,189360000
O00299,46273000,582570000,608680000,328960000,508760000,242740000,100470000,131440000,57428000,150240000,328970000,36823000,145510,46570000,62488000,984780000,213950000,325210000,604690000,363120000,596910000
O14773,111920000,1440200000,960460000,1050100000,740870000,498250000,330800000,106740000,51221000,114540000,455350000,15295000,729060,331960000,213590000,808110000,251440000,1029900000,300960000,638200000,625110000
O14818,226700000,879030000,737930000,488610000,196930000,696890000,299120000,151340000,51987000,186990000,677130000,5987700,1150600,152710000,180060000,1190500000,199610000,791720000,392340000,472330000,466190000
O15143,33648000,566050000,212960000,176040000,158240000,247690000,82834000,83760000,42439000,131300000,220430000,24714000,2154700,87259000,66658000,588460000,120040000,391050000,165880000,119530000,512770000
O15144,12256000,615600000,455080000,211290000,317020000,313340000,212970000,227080000,38075000,115020000,243260000,939890,3252700,111200000,38489000,661610000,125050000,441930000,225450000,153110000,410690000
O15145,11973000,362140000,148600000,150570000,128390000,11475000,4688000,11219000,8996700,30992000,149440000,1337600,311150,74687000,22122000,239680000,137420000,362840000,79799000,51389000,148950000
O15173,30129000,175040000,89174000,108150000,86893000,72745000,47327000,84874000,18569000,16311000,68395000,26194000,1126500,22915000,10268000,187400000,22831000,189610000,169300000,91043000,70571000
O15230,10401000,474840000,50691000,1847300,27738000,83332000,12963000,63462000,27944000,14798000,22899000,364710,57397,6533300,36268000,121610000,157560000,193140000,108350000,192330000,12328000
O43143,18653000,340040000,92823000,80736000,37717000,101210000,73251000,71332000,10880000,38804000,156000000,1867900,5998700,2900900,6042400,280830000,19465000,214180000,75523000,64335000,59643000
O43237,17364000,413320000,75295000,122690000,53729000,48821000,9835800,29235000,3471900,28960000,72348000,23057000,20460000,15516000,24128000,99835000,66233000,186990000,67027000,112500000,93759000
O43390,30765000,681810000,259050000,222560000,165460000,137190000,176570000,111270000,56208000,179310000,215250000,8612300,730890,79023000,44292000,667110000,112000000,479580000,169540000,192240000,271290000
